feature,mean_importance,std_importance
semantic,0.22373917726356285,0.1099269483483599
criq,0.12136356109300869,0.05588684224222638
reyword,0.11548323464763333,0.07829266908505286
denomdescr,0.09441767663541988,0.08612015190949181
span_back,0.09374952979269612,0.03483043289847779
reyfig,0.09365451192394099,0.0174290981292987
mmse,0.0765352975716298,0.04891601424416343
phonemic,0.07075357844050734,0.024466914691710535
span_for,0.06574485061776895,0.02271007460818062
trog,0.044558582013832074,0.020314293923990142
